State,Year,MedianPrice
LA,2003,135005.240531561
LA,2004,142952.162615741
LA,2005,149840.318110236
LA,2006,160154.772959184
LA,2007,160596.560474669
LA,2008,157899.55957272
LA,2009,143669.804236006
LA,2010,137583.525060959
LA,2011,133447.840508299
LA,2012,128170.311235955
LA,2013,129677.188373641
LA,2014,132928.725630983
LA,2015,135875.37361737
LA,2016,139069.934804616
LA,2017,141907.374675454
LA,2018,143704.045744065
LA,2019,145158.282788425
LA,2020,147987.129056184
LA,2021,153002.911214953
MA,2000,239904.567003252
MA,2001,274759.858316222
MA,2002,307181.696468179
MA,2003,344068.707055215
MA,2004,377015.839809134
MA,2005,408825.557600545
MA,2006,415464.990835031
MA,2007,399382.642566191
MA,2008,380632.781059063
MA,2009,358707.915609674
MA,2010,359218.486272528
MA,2011,348400.723952197
MA,2012,342442.092330727
MA,2013,362183.16002656
MA,2014,382506.041500664
MA,2015,397389.018518519
MA,2016,411841.291728092
MA,2017,431228.60320544
MA,2018,454866.655798265
MA,2019,465291.914097624
MA,2020,484041.95761079
MA,2021,537301.769711538
MD,2000,177864.459323923
MD,2001,190815.950259837
MD,2002,210345.695991091
MD,2003,239215.287861915
MD,2004,279712.931328879
MD,2005,336223.263177431
MD,2006,380800.87537092
MD,2007,383443.081481481
MD,2008,352757.830962498
MD,2009,312869.455567847
MD,2010,298496.173137075
MD,2011,284016.492463235
MD,2012,278994.924078091
MD,2013,291351.409797542
MD,2014,301026.738973247
MD,2015,301131.230477223
MD,2016,303074.379067245
MD,2017,311895.280007231
MD,2018,322099.545634921
MD,2019,327984.136183261
MD,2020,336635.871753247
MD,2021,371140.229166667
ME,2000,136243.066838046
ME,2001,148818.478707783
ME,2002,162080.702343477
ME,2003,174847.549765991
ME,2004,197313.6759231
ME,2005,215371.751818182
ME,2006,220877.945151515
ME,2007,219505.269090909
ME,2008,215600.75120919
ME,2009,204302.438974658
ME,2010,196361.582995951
ME,2011,189265.327431141
ME,2012,186907.172129158
ME,2013,182944.871366445
ME,2014,180488.815073116
ME,2015,184294.883183856
ME,2016,187496.956338652
ME,2017,194309.513076241
ME,2018,203841.158244681
ME,2019,212123.289450355
ME,2020,224804.276548673
ME,2021,252069.931045859
MI,2000,135755.799388719
MI,2001,143772.789014942
MI,2002,149489.490916541
MI,2003,152793.750446542
MI,2004,158140.255605946
MI,2005,163847.40202576
MI,2006,164903.49894815
MI,2007,156788.381575758
MI,2008,142187.997643098
MI,2009,123728.467634283
MI,2010,115505.396786409
MI,2011,109863.659309791
MI,2012,108227.504931893
MI,2013,115495.995988695
MI,2014,124692.554544644
MI,2015,130617.319827358
MI,2016,136170.3581517
MI,2017,144571.055603747
MI,2018,154473.752813853
MI,2019,162425.971015747
MI,2020,169939.183860377
MI,2021,186887.295701709
MN,2000,156870.026959248
MN,2001,173842.198022681
MN,2002,190514.393730227
MN,2003,203554.887118923
MN,2004,207586.284837034
MN,2005,206946.633268102
MN,2006,209144.539912917
MN,2007,205762.280072137
MN,2008,193309.853828711
MN,2009,169414.667003902
MN,2010,159980.066874239
MN,2011,148456.576566125
MN,2012,141542.134291764
MN,2013,148073.480128548
MN,2014,154621.174791302
MN,2015,159337.925116846
MN,2016,167366.162595033
MN,2017,177144.805980669
MN,2018,186537.463260052
MN,2019,194259.149980369
MN,2020,201599.474471831
MN,2021,216688.360638921
MO,2000,121436.967447917
MO,2001,131756.593461861
MO,2002,138124.33230413
MO,2003,144137.667381208
MO,2004,145639.63897564
MO,2005,150724.449175412
MO,2006,156442.82629108
MO,2007,157283.077907307
MO,2008,149332.568552253
MO,2009,132559.763209393
MO,2010,125312.478865248
MO,2011,118822.021288285
MO,2012,111911.889529299
MO,2013,113374.442231076
MO,2014,116171.075920563
MO,2015,120254.231020408
MO,2016,124882.845592644
MO,2017,130831.450409197
MO,2018,137708.291666667
MO,2019,144393.731277533
MO,2020,149413.956739364
MO,2021,160978.535277887
MS,2000,
MS,2001,
MS,2002,
