zpid,streetAddress,zipcode,city,state,latitude,longitude,price,bathrooms,bedrooms,livingArea,homeType,homeStatus,imageLink,daysOnZillow,isFeatured,shouldHighlight,brokerId,zestimate,rentZestimate,listing_sub_type,openHouse,isUnmappable,mediumImageLink,isPreforeclosureAuction,homeStatusForHDP,priceForHDP,open_house_info,timeOnZillow,hiResImageLink,watchImageLink,tvImageLink,tvCollectionImageLink,tvHighResImageLink,desktopWebHdpImageLink,isNonOwnerOccupied,isPremierBuilder,isZillowOwned,currency,country,taxAssessedValue,unit,lotAreaValue,lotAreaUnit,dateSold,videoCount,group_type,grouping_name,priceSuffix,providerListingID,newConstructionType,datePriceChanged,priceChange,priceReduction,isRentalWithBasePrice,comingSoonOnMarketDate
2071614814,"Plan 3B Plan, Lookout at Bay37",94501,Alameda,CA,37.790927,-122.280359,825990.0,2.0,2.0,1102.0,TOWNHOUSE,FOR_SALE,https://www.zillowstatic.com/static/images/nophoto_p_g.png,3,False,False,0,,4140.0,True,,False,https://www.zillowstatic.com/static/images/nophoto_p_c.png,False,FOR_SALE,825990.0,,1632197760000.0,https://www.zillowstatic.com/static/images/nophoto_p_f.png,https://www.zillowstatic.com/static/images/nophoto_p_j.png,https://www.zillowstatic.com/static/images/nophoto_p_m.png,https://www.zillowstatic.com/static/images/nophoto_p_l.png,https://www.zillowstatic.com/static/images/nophoto_p_n.png,https://www.zillowstatic.com/static/images/nophoto_p_h.png,True,True,False,USD,USA,,# VMC86X,,,,,BUILDER_COMMUNITY,Lookout at Bay37,+,29260033,BUILDER_PLAN,1628406000000.0,5000.0,,,
24870636,111 Sherwood Ln,94502,Alameda,CA,37.746311,-122.250375,1790000.0,3.0,4.0,2256.0,SINGLE_FAMILY,FOR_SALE,https://www.zillowstatic.com/static/images/nophoto_p_g.png,4,False,False,0,,,True,Sat. 2-4pm,False,https://www.zillowstatic.com/static/images/nophoto_p_c.png,False,FOR_SALE,1790000.0,,1632142392000.0,https://www.zillowstatic.com/static/images/nophoto_p_f.png,https://www.zillowstatic.com/static/images/nophoto_p_j.png,https://www.zillowstatic.com/static/images/nophoto_p_m.png,https://www.zillowstatic.com/static/images/nophoto_p_l.png,https://www.zillowstatic.com/static/images/nophoto_p_n.png,https://www.zillowstatic.com/static/images/nophoto_p_h.png,True,False,False,USD,USA,621005.0,,5000.0,sqft,756374400000.0,,,,,,,,,,,
2071614825,"Plan 3 Plan, Compass at Bay37",94501,Alameda,CA,37.790927,-122.280359,925990.0,2.0,2.0,1553.0,CONDO,FOR_SALE,https://www.zillowstatic.com/static/images/nophoto_p_g.png,5,False,False,0,,4140.0,True,,False,https://www.zillowstatic.com/static/images/nophoto_p_c.png,False,FOR_SALE,925990.0,,1632096960000.0,https://www.zillowstatic.com/static/images/nophoto_p_f.png,https://www.zillowstatic.com/static/images/nophoto_p_j.png,https://www.zillowstatic.com/static/images/nophoto_p_m.png,https://www.zillowstatic.com/static/images/nophoto_p_l.png,https://www.zillowstatic.com/static/images/nophoto_p_n.png,https://www.zillowstatic.com/static/images/nophoto_p_h.png,True,True,False,USD,USA,,# 14E1CS,,,,,BUILDER_COMMUNITY,Compass at Bay37,+,29260034,BUILDER_PLAN,1625986800000.0,10000.0,,,
2071614820,"Plan 4 Plan, Compass at Bay37",94501,Alameda,CA,37.790927,-122.280359,960990.0,3.0,2.0,1551.0,CONDO,FOR_SALE,https://www.zillowstatic.com/static/images/nophoto_p_g.png,5,False,False,0,,4140.0,True,,False,https://www.zillowstatic.com/static/images/nophoto_p_c.png,False,FOR_SALE,960990.0,,1632039360000.0,https://www.zillowstatic.com/static/images/nophoto_p_f.png,https://www.zillowstatic.com/static/images/nophoto_p_j.png,https://www.zillowstatic.com/static/images/nophoto_p_m.png,https://www.zillowstatic.com/static/images/nophoto_p_l.png,https://www.zillowstatic.com/static/images/nophoto_p_n.png,https://www.zillowstatic.com/static/images/nophoto_p_h.png,True,True,False,USD,USA,,# DK08VV,,,,,BUILDER_COMMUNITY,Compass at Bay37,+,29260034,BUILDER_PLAN,1625986800000.0,10000.0,,,
2071614822,"Plan 5 Plan, Compass at Bay37",94501,Alameda,CA,37.790927,-122.280359,1015990.0,3.0,2.0,1714.0,CONDO,FOR_SALE,https://www.zillowstatic.com/static/images/nophoto_p_g.png,5,False,False,0,,4140.0,True,,False,https://www.zillowstatic.com/static/images/nophoto_p_c.png,False,FOR_SALE,1015990.0,,1632024960000.0,https://www.zillowstatic.com/static/images/nophoto_p_f.png,https://www.zillowstatic.com/static/images/nophoto_p_j.png,https://www.zillowstatic.com/static/images/nophoto_p_m.png,https://www.zillowstatic.com/static/images/nophoto_p_l.png,https://www.zillowstatic.com/static/images/nophoto_p_n.png,https://www.zillowstatic.com/static/images/nophoto_p_h.png,True,True,False,USD,USA,,# S8EJ3X,,,,,BUILDER_COMMUNITY,Compass at Bay37,+,29260034,BUILDER_PLAN,1625986800000.0,10000.0,,,
24865915,3009 Flora Vis,94502,Alameda,CA,37.735062,-122.247615,749000.0,2.0,2.0,1280.0,TOWNHOUSE,FOR_SALE,https://www.zillowstatic.com/static/images/nophoto_p_g.png,5,False,False,0,825300.0,3399.0,True,,False,https://www.zillowstatic.com/static/images/nophoto_p_c.png,False,FOR_SALE,749000.0,,1632021796000.0,https://www.zillowstatic.com/static/images/nophoto_p_f.png,https://www.zillowstatic.com/static/images/nophoto_p_j.png,https://www.zillowstatic.com/static/images/nophoto_p_m.png,https://www.zillowstatic.com/static/images/nophoto_p_l.png,https://www.zillowstatic.com/static/images/nophoto_p_n.png,https://www.zillowstatic.com/static/images/nophoto_p_h.png,True,False,False,USD,USA,82222.0,,1500.0,sqft,,,,,,,,,,,,
2071614828,"Plan 4 Plan, Landing at Bay37",94501,Alameda,CA,37.790927,-122.280359,955990.0,2.0,3.0,1506.0,CONDO,FOR_SALE,https://www.zillowstatic.com/static/images/nophoto_p_g.png,6,False,False,0,,4140.0,True,,False,https://www.zillowstatic.com/static/images/nophoto_p_c.png,False,FOR_SALE,955990.0,,1632010560000.0,https://www.zillowstatic.com/static/images/nophoto_p_f.png,https://www.zillowstatic.com/static/images/nophoto_p_j.png,https://www.zillowstatic.com/static/images/nophoto_p_m.png,https://www.zillowstatic.com/static/images/nophoto_p_l.png,https://www.zillowstatic.com/static/images/nophoto_p_n.png,https://www.zillowstatic.com/static/images/nophoto_p_h.png,True,True,False,USD,USA,,# 8PBLOJ,,,,,BUILDER_COMMUNITY,Landing at Bay37,+,29260043,BUILDER_PLAN,,,,,
2072198924,2852 5th St,94501,Alameda,CA,37.790836,-122.279859,934028.0,2.0,2.0,1305.0,CONDO,FOR_SALE,https://www.zillowstatic.com/static/images/nophoto_p_g.png,6,False,False,0,998100.0,4070.0,True,,False,https://www.zillowstatic.com/static/images/nophoto_p_c.png,False,FOR_SALE,934028.0,,1632004388000.0,https://www.zillowstatic.com/static/images/nophoto_p_f.png,https://www.zillowstatic.com/static/images/nophoto_p_j.png,https://www.zillowstatic.com/static/images/nophoto_p_m.png,https://www.zillowstatic.com/static/images/nophoto_p_l.png,https://www.zillowstatic.com/static/images/nophoto_p_n.png,https://www.zillowstatic.com/static/images/nophoto_p_h.png,True,False,False,USD,USA,,,,,,,,,,,BUILDER_SPEC,1631948400000.0,-431962.0,"$431,962 (Sep 18)",,
2071614827,"Plan 1 Plan, Breeze at Bay37",94501,Alameda,CA,37.790927,-122.280359,1365990.0,4.0,4.0,2377.0,SINGLE_FAMILY,FOR_SALE,https://www.zillowstatic.com/static/images/nophoto_p_g.png,6,False,False,0,,4140.0,True,,False,https://www.zillowstatic.com/static/images/nophoto_p_c.png,False,FOR_SALE,1365990.0,,1631996160000.0,https://www.zillowstatic.com/static/images/nophoto_p_f.png,https://www.zillowstatic.com/static/images/nophoto_p_j.png,https://www.zillowstatic.com/static/images/nophoto_p_m.png,https://www.zillowstatic.com/static/images/nophoto_p_l.png,https://www.zillowstatic.com/static/images/nophoto_p_n.png,https://www.zillowstatic.com/static/images/nophoto_p_h.png,True,True,False,USD,USA,,# BBSQYU,,,,,BUILDER_COMMUNITY,Breeze at Bay37,+,29260038,BUILDER_PLAN,1630566000000.0,10000.0,,,
299075119,2121 Santa Clara Ave,94501,Alameda,CA,37.768429,-122.247967,1510000.0,4.0,4.0,3812.0,MULTI_FAMILY,FOR_SALE,https://www.zillowstatic.com/static/images/nophoto_p_g.png,6,False,False,0,,3934.0,True,Sat. 2-4pm,False,https://www.zillowstatic.com/static/images/nophoto_p_c.png,False,FOR_SALE,1510000.0,,1631979787000.0,https://www.zillowstatic.com/static/images/nophoto_p_f.png,https://www.zillowstatic.com/static/images/nophoto_p_j.png,https://www.zillowstatic.com/static/images/nophoto_p_m.png,https://www.zillowstatic.com/static/images/nophoto_p_l.png,https://www.zillowstatic.com/static/images/nophoto_p_n.png,https://www.zillowstatic.com/static/images/nophoto_p_h.png,True,False,False,USD,USA,139349.0,,6974.0,sqft,,,,,,,,,,,,
