zpid,streetAddress,zipcode,city,state,latitude,longitude,price,bathrooms,bedrooms,livingArea,homeType,daysOnZillow,zestimate,rentZestimate,timeOnZillow,taxAssessedValue,lotAreaValue,dateSold,CalendarYear built,Price Square FeetPrice/sqft,HasFlooring,HasHeating,HasCooling,GarageSpaces,HasLaundary,FirePlaces,HasPool,HasSecurity,Stories,Livability,Crime,Employment,Housing,Schools
24869266,960 Shorepoint Ct APT 209,94501,Alameda,CA,37.76256,-122.26948999999999,569000.0,2,2,1043.0,CONDO,6,599100.0,3099.0,2021-09-18 04:51:17.000000,226338.0,133751.99999999997,,1972,546.0,Yes,No,No,2,Yes,1,Yes,No,0,76,C,B,B-,B+
2113989770,617 Pacific Ave APT X,94501,Alameda,CA,37.776844,-122.278306,799000.0,1,2,802.0,SINGLE_FAMILY,6,799000.0,4500.0,2021-09-18 04:48:21.000000,514005.0,3402.0,,1925,996.0,Yes,Yes,No,1,Yes,1,No,No,1,76,C,B,B-,B+
2071614821,"Plan 2 Plan, Lookout at Bay37",94501,Alameda,CA,37.790927,-122.280359,841990.0,2,2,1138.0,TOWNHOUSE,6,841990.0,4140.0,2021-09-18 04:16:00.000000,514005.0,286533.7060621498,,2021,740.0,No,No,No,2,No,0,No,No,0,76,C,B,B-,B+
24857603,2964 Southwood Dr,94501,Alameda,CA,37.76253,-122.23064,1395000.0,2,3,2146.0,SINGLE_FAMILY,7,1395000.0,4262.0,2021-09-18 00:38:10.000000,982597.0,4512.0,2002-05-15 07:00:00.000000,1930,650.0,Yes,Yes,No,0,Yes,2,No,No,0,76,C,B,B-,B+
24856386,3000 San Jose Ave,94501,Alameda,CA,37.755953000000005,-122.236975,995000.0,2,3,1384.0,SINGLE_FAMILY,7,1103900.0,3458.0,2021-09-18 00:28:15.000000,829244.0,2871.0,2014-08-08 07:00:00.000000,1927,719.0,Yes,Yes,No,1,Yes,1,No,Yes,0,76,C,B,B-,B+
2073521511,"Leeward - Plan 5 Plan, Leeward at Alameda Point",94501,Alameda,CA,37.780183,-122.29173600000001,1085000.0,3,3,1767.0,TOWNHOUSE,7,1085000.0,3788.0,2021-09-17 20:16:00.000000,514005.0,286533.7060621498,,2021,614.0,No,No,No,0,No,0,No,No,0,76,C,B,B-,B+
2071614829,"Plan 1 Plan, Landing at Bay37",94501,Alameda,CA,37.790927,-122.280359,850990.0,2,2,1305.0,CONDO,7,850990.0,4140.0,2021-09-17 16:16:00.000000,514005.0,286533.7060621498,,2021,652.0,No,No,No,1,No,0,No,No,0,76,C,B,B-,B+
24868493,1711 Palmera Ct,94501,Alameda,CA,37.764446,-122.260393,1995000.0,3,3,2482.0,SINGLE_FAMILY,7,1995000.0,4937.0,2021-09-17 12:18:25.000000,1070351.0,4620.0,2002-07-17 07:00:00.000000,1924,804.0,Yes,Yes,No,1,Yes,1,No,No,2,76,C,B,B-,B+
299075646,617 Pacific Ave,94501,Alameda,CA,37.776844,-122.278306,799000.0,1,2,802.0,SINGLE_FAMILY,7,890100.0,2258.0,2021-09-17 07:00:00.000000,19251.0,3402.0,2013-08-28 07:00:00.000000,1925,996.0,Yes,Yes,No,1,No,0,No,No,0,76,C,B,B-,B+
24858342,979 Pearl St,94501,Alameda,CA,37.755699,-122.243109,1395000.0,3,3,2281.0,SINGLE_FAMILY,7,1567700.0,4868.0,2021-09-17 06:28:09.000000,1251381.0,4000.0,2013-06-14 07:00:00.000000,1928,612.0,Yes,Yes,No,1,Yes,1,No,Yes,2,76,C,B,B-,B+
24857708,3006 Fernside Blvd,94501,Alameda,CA,37.764886,-122.228871,995000.0,2,3,1569.0,SINGLE_FAMILY,7,995000.0,3587.0,2021-09-17 05:13:15.000000,92188.0,4000.0,,1937,634.0,Yes,Yes,No,1,Yes,1,No,No,2,76,C,B,B-,B+
2071614826,"Plan 2 Plan, Breeze at Bay37",94501,Alameda,CA,37.790927,-122.280359,1415990.0,4,4,2565.0,SINGLE_FAMILY,8,1415990.0,4140.0,2021-09-17 00:16:00.000000,514005.0,286533.7060621498,,2021,552.0,No,No,No,2,No,0,No,No,0,76,C,B,B-,B+
24856988,3246 Liberty Ave,94501,Alameda,CA,37.758151,-122.22913600000001,1795000.0,3,4,2497.0,SINGLE_FAMILY,8,1795000.0,4880.0,2021-09-16 22:18:12.000000,903359.0,4600.0,2009-12-29 08:00:00.000000,1912,719.0,Yes,Yes,No,1,Yes,2,No,Yes,2,76,C,B,B-,B+
2071614830,"Plan 3 Plan, Landing at Bay37",94501,Alameda,CA,37.790927,-122.280359,940990.0,2,3,1454.0,CONDO,8,940990.0,4140.0,2021-09-16 20:16:00.000000,514005.0,286533.7060621498,,2021,647.0,No,No,No,2,No,0,No,No,0,76,C,B,B-,B+
2075133369,"Crest - Plan 4 Plan, Crest at Alameda Point",94501,Alameda,CA,37.780183,-122.29173600000001,1090000.0,4,4,1914.0,CONDO,8,1090000.0,3788.0,2021-09-16 16:16:00.000000,514005.0,286533.7060621498,,2021,569.0,No,No,No,0,No,0,No,No,0,76,C,B,B-,B+
2071614815,"Plan 3C Plan, Lookout at Bay37",94501,Alameda,CA,37.790927,-122.280359,815990.0,2,2,1066.0,TOWNHOUSE,8,815990.0,4140.0,2021-09-16 12:16:00.000000,514005.0,286533.7060621498,,2021,765.0,No,No,No,1,No,0,No,No,0,76,C,B,B-,B+
24864273,418 Lincoln Ave,94501,Alameda,CA,37.775108,-122.28498700000002,898000.0,1,2,1056.0,SINGLE_FAMILY,9,898000.0,3126.0,2021-09-15 05:53:10.000000,49605.0,5100.0,2021-04-23 07:00:00.000000,1916,850.0,Yes,Yes,Yes,0,Yes,1,No,Yes,1,76,C,B,B-,B+
2071614818,"Plan 7 Plan, Compass at Bay37",94501,Alameda,CA,37.790927,-122.280359,1095990.0,3,3,1997.0,CONDO,10,1095990.0,4140.0,2021-09-14 08:16:00.000000,514005.0,286533.7060621498,,2021,549.0,No,No,No,2,No,0,No,No,0,76,C,B,B-,B+
2071614823,"Plan 6 Plan, Compass at Bay37",94501,Alameda,CA,37.790927,-122.280359,1025990.0,3,3,1756.0,CONDO,11,1025990.0,4140.0,2021-09-14 00:16:00.000000,514005.0,286533.7060621498,,2021,584.0,No,No,No,2,No,0,No,No,0,76,C,B,B-,B+
2075133368,"Crest - Plan 1 Plan, Crest at Alameda Point",94501,Alameda,CA,37.780183,-122.29173600000001,1180000.0,4,3,2076.0,CONDO,12,1180000.0,3788.0,2021-09-12 16:16:00.000000,514005.0,286533.7060621498,,2021,568.0,No,No,No,0,No,0,No,No,0,76,C,B,B-,B+
2111367837,1813 3rd St,94501,Alameda,CA,37.778222,-122.28806100000001,599000.0,1,2,697.0,TOWNHOUSE,14,673200.0,2651.0,2021-09-10 01:39:11.000000,514005.0,286533.7060621498,,1940,859.0,Yes,Yes,No,0,Yes,0,No,No,1,76,C,B,B-,B+
163650749,2725 5th St,94501,Alameda,CA,37.787865000000004,-122.28166399999999,1295000.0,3,4,2454.0,CONDO,15,1380099.0,4966.0,2021-09-09 04:32:00.000000,1211252.0,16160.0,2016-10-31 07:00:00.000000,2016,528.0,Yes,Yes,No,1,Yes,0,No,Yes,0,76,C,B,B-,B+
24864013,552 Haight Ave,94501,Alameda,CA,37.774103000000004,-122.280093,799000.0,1,2,1283.0,SINGLE_FAMILY,16,900200.0,3399.0,2021-09-09 00:48:18.000000,70443.0,3135.0,,1896,623.0,Yes,Yes,No,0,Yes,0,No,No,1,76,C,B,B-,B+
24859582,2430 Webb Ave,94501,Alameda,CA,37.7651,-122.24037,975000.0,2,3,1152.0,SINGLE_FAMILY,16,1057300.0,3428.0,2021-09-08 20:28:09.000000,794061.0,3333.0,2006-05-16 07:00:00.000000,1890,846.0,Yes,Yes,No,0,Yes,0,No,Yes,2,76,C,B,B-,B+
24859658,2519 Clement Ave,94501,Alameda,CA,37.768693,-122.235437,898000.0,2,3,1430.0,SINGLE_FAMILY,17,898000.0,3669.0,2021-09-08 00:33:16.000000,817008.0,3750.0,2017-03-21 07:00:00.000000,1880,628.0,Yes,Yes,No,0,Yes,0,No,No,2,76,C,B,B-,B+
2071614824,"Plan 2 Plan, Compass at Bay37",94501,Alameda,CA,37.790927,-122.280359,885990.0,3,2,1366.0,CONDO,17,885990.0,4140.0,2021-09-08 00:16:00.000000,514005.0,286533.7060621498,,2021,649.0,No,No,No,2,No,0,No,No,0,76,C,B,B-,B+
24869784,1355 Crown Dr,94501,Alameda,CA,37.770229,-122.28116399999999,849000.0,2,2,1188.0,CONDO,22,918700.0,3200.0,2021-09-02 21:13:12.000000,644088.0,403366.00000000006,2007-07-11 07:00:00.000000,1980,715.0,Yes,Yes,No,1,Yes,1,No,No,1,76,C,B,B-,B+
24869107,933 Shore Line Dr #104,94501,Alameda,CA,37.75557,-122.253565,799000.0,2,2,1360.0,CONDO,22,898200.0,3375.0,2021-09-02 09:13:14.000000,243492.0,39765.0,,1970,588.0,Yes,Yes,No,1,Yes,1,No,Yes,1,76,C,B,B-,B+
24859228,1119 Broadway,94501,Alameda,CA,37.757286,-122.243776,1200000.0,2,3,1559.0,SINGLE_FAMILY,22,1348300.0,3869.0,2021-09-02 05:28:26.000000,383788.0,2590.0,1999-05-04 07:00:00.000000,1927,770.0,Yes,Yes,No,1,Yes,1,No,Yes,2,76,C,B,B-,B+
24860300,2111 San Antonio Ave,94501,Alameda,CA,37.764696,-122.251002,1188000.0,4,6,2726.0,MULTI_FAMILY,24,1188000.0,3616.0,2021-08-31 07:03:26.000000,438244.0,5550.0,,1875,436.0,Yes,Yes,No,0,No,0,No,No,0,76,C,B,B-,B+
24858234,1239 College Ave,94501,Alameda,CA,37.758559000000005,-122.23817,998000.0,1,2,805.0,SINGLE_FAMILY,26,1114200.0,2499.0,2021-08-29 22:13:07.000000,798134.0,2575.0,2015-12-02 08:00:00.000000,1906,1240.0,Yes,Yes,Yes,0,Yes,0,No,No,1,76,C,B,B-,B+
2068684453,888 Willow St,94501,Alameda,CA,37.762538,-122.252991,1789000.0,4,5,3092.0,MULTI_FAMILY,28,1789000.0,3978.0,2021-08-27 23:33:19.000000,514005.0,4895.0,,1915,579.0,Yes,Yes,Yes,2,Yes,0,No,No,0,76,C,B,B-,B+
24868044,888 Willow St #A,94501,Alameda,CA,37.762538,-122.252991,899000.0,3,3,2040.0,CONDO,29,899000.0,4298.0,2021-08-26 23:48:17.000000,804142.0,4895.0,2017-05-19 07:00:00.000000,1915,441.0,Yes,Yes,No,0,Yes,2,No,No,2,76,C,B,B-,B+
24859354,2404 Otis Dr,94501,Alameda,CA,37.757119,-122.248341,1250000.0,2,3,2038.0,SINGLE_FAMILY,32,1432700.0,4264.0,2021-08-24 00:43:11.000000,116198.0,5633.0,,1949,613.0,Yes,Yes,No,1,Yes,2,Yes,Yes,2,76,C,B,B-,B+
24867940,2137 Otis Dr APT 314,94501,Alameda,CA,37.760856,-122.25246399999999,625000.0,2,2,1162.0,CONDO,34,661300.0,3200.0,2021-08-21 09:03:24.000000,416370.0,73180.0,2009-03-31 07:00:00.000000,1966,538.0,Yes,Yes,Yes,1,Yes,0,Yes,No,1,76,C,B,B-,B+
24856100,3276 Washington St,94501,Alameda,CA,37.752156,-122.234307,1299000.0,3,3,1575.0,SINGLE_FAMILY,35,1455700.0,3728.0,2021-08-20 15:23:24.000000,1086136.0,4400.0,2019-12-31 08:00:00.000000,1958,825.0,Yes,Yes,Yes,2,Yes,1,No,Yes,1,76,C,B,B-,B+
24861921,1520 Santa Clara Ave,94501,Alameda,CA,37.772604,-122.259971,1259000.0,2,4,1950.0,MULTI_FAMILY,-1,1057100.0,3253.0,2021-10-04 15:42:02.611833,780502.0,129198960.0,2019-10-03 07:00:00.000000,1900,646.0,No,Yes,No,2,Yes,0,No,No,0,76,C,B,B-,B+
24859642,2417 Eagle Ave,94501,Alameda,CA,37.768751,-122.237978,890000.0,1,2,979.0,SINGLE_FAMILY,36,890000.0,3123.0,2021-08-19 21:58:05.000000,407501.0,4000.0,2000-06-01 07:00:00.000000,1910,909.0,Yes,Yes,No,1,Yes,0,No,No,1,76,C,B,B-,B+
24864647,100 Pacific Ave,94501,Alameda,CA,37.776253999999994,-122.29083899999999,699000.0,1,3,1002.0,SINGLE_FAMILY,36,778700.0,3027.0,2021-08-19 13:13:14.000000,858805.0,5100.0,,1945,698.0,Yes,Yes,No,0,Yes,1,No,No,1,76,C,B,B-,B+
24861003,1415 Lafayette St,94501,Alameda,CA,37.769802,-122.25318200000001,2900000.0,6,5,5249.0,SINGLE_FAMILY,37,2119700.0,5205.0,2021-08-18 06:33:18.000000,1455444.0,12417.0,2004-01-02 08:00:00.000000,1893,552.0,Yes,Yes,Yes,0,Yes,1,Yes,No,3,76,C,B,B-,B+
