Zpid,event,time,date,price,pricePerSquareFoot,priceChangeRate,source,buyerAgent,sellerAgent,showCountyLink,postingIsRental,attributeSource
2078237164,Price change,1618531200000,2021-04-16,907880,545,0.005537834485202907,Lennar Homes,,,False,False,"{'infoString1': None, 'infoString2': 'Lennar Homes', 'infoString3': 'https://photos.zillowstatic.com/fp/4f5994d4ddf3b5b2e05338865d11a809-p_d.jpg'}"
2078237164,Price change,1618012800000,2021-04-10,902880,542,0.02847769626828268,Lennar Homes,,,False,False,"{'infoString1': None, 'infoString2': 'Lennar Homes', 'infoString3': 'https://photos.zillowstatic.com/fp/4f5994d4ddf3b5b2e05338865d11a809-p_d.jpg'}"
2078237164,Price change,1616198400000,2021-03-20,877880,527,0.0057281642379250295,Lennar Homes,,,False,False,"{'infoString1': None, 'infoString2': 'Lennar Homes', 'infoString3': 'https://photos.zillowstatic.com/fp/4f5994d4ddf3b5b2e05338865d11a809-p_d.jpg'}"
2078237164,Price change,1614988800000,2021-03-06,872880,524,0.005761165138037517,Lennar Homes,,,False,False,"{'infoString1': None, 'infoString2': 'Lennar Homes', 'infoString3': 'https://photos.zillowstatic.com/fp/4f5994d4ddf3b5b2e05338865d11a809-p_d.jpg'}"
2078237164,Price change,1614384000000,2021-02-27,867880,521,0.005794548488781754,Lennar Homes,,,False,False,"{'infoString1': None, 'infoString2': 'Lennar Homes', 'infoString3': 'https://photos.zillowstatic.com/fp/4f5994d4ddf3b5b2e05338865d11a809-p_d.jpg'}"
2078237164,Price change,1613779200000,2021-02-20,862880,518,0.005828320977292862,Lennar Homes,,,False,False,"{'infoString1': None, 'infoString2': 'Lennar Homes', 'infoString3': 'https://photos.zillowstatic.com/fp/4f5994d4ddf3b5b2e05338865d11a809-p_d.jpg'}"
2078237164,Price change,1613174400000,2021-02-13,857880,515,0.002336776183577137,Lennar Homes,,,False,False,"{'infoString1': None, 'infoString2': 'Lennar Homes', 'infoString3': 'https://photos.zillowstatic.com/fp/4f5994d4ddf3b5b2e05338865d11a809-p_d.jpg'}"
2078237164,Price change,1612569600000,2021-02-06,855880,513,0.005876269274163219,Lennar Homes,,,False,False,"{'infoString1': None, 'infoString2': 'Lennar Homes', 'infoString3': 'https://photos.zillowstatic.com/fp/4f5994d4ddf3b5b2e05338865d11a809-p_d.jpg'}"
2078237164,Price change,1611964800000,2021-01-30,850880,510,0.005911003924906606,Lennar Homes,,,False,False,"{'infoString1': None, 'infoString2': 'Lennar Homes', 'infoString3': 'https://photos.zillowstatic.com/fp/4f5994d4ddf3b5b2e05338865d11a809-p_d.jpg'}"
2078237164,Price change,1611360000000,2021-01-23,845880,507,0.0059461516506516985,Lennar Homes,,,False,False,"{'infoString1': None, 'infoString2': 'Lennar Homes', 'infoString3': 'https://photos.zillowstatic.com/fp/4f5994d4ddf3b5b2e05338865d11a809-p_d.jpg'}"
2078237164,Price change,1605312000000,2020-11-14,840880,504,-0.011752538548326438,Lennar,,,False,False,"{'infoString1': None, 'infoString2': 'Lennar', 'infoString3': None}"
2078237164,Listed for sale,1597363200000,2020-08-14,850880,510,0.0,Lennar,,,False,False,"{'infoString1': None, 'infoString2': 'Lennar', 'infoString3': None}"
18440997,Listed for sale,1631232000000,2021-09-10,628000,658,0.41123595505617977,bridgeMLS/CCAR/Bay East AOR,,,False,False,"{'infoString1': '40966083', 'infoString2': 'bridgeMLS/CCAR/Bay East AOR', 'infoString3': 'https://photos.zillowstatic.com/fp/542acdc3b2ca053db8ac9dea64ca1739-p_d.jpg'}"
18440997,Sold,1125360000000,2005-08-30,445000,466,0.46381578947368424,Public Record,"{'photo': {'url': 'https://photos.zillowstatic.com/h_e/ISf87b83xajkf30000000000.jpg'}, 'profileUrl': '/profile/user9888139/', 'name': 'Danielle Broad'}",,False,False,"{'infoString1': None, 'infoString2': 'Public Record', 'infoString3': None}"
18440997,Sold,1054166400000,2003-05-29,304000,319,0.30472103004291845,Public Record,,,False,False,"{'infoString1': None, 'infoString2': 'Public Record', 'infoString3': None}"
18440997,Sold,1036540800000,2002-11-06,233000,244,0.0,Public Record,,,False,False,"{'infoString1': None, 'infoString2': 'Public Record', 'infoString3': None}"
18449274,Price change,1631232000000,2021-09-10,1699999,535,0.0005879929370217775,bridgeMLS/CCAR/Bay East AOR,,,False,False,"{'infoString1': '40966619', 'infoString2': 'bridgeMLS/CCAR/Bay East AOR', 'infoString3': 'https://photos.zillowstatic.com/fp/542acdc3b2ca053db8ac9dea64ca1739-p_d.jpg'}"
18449274,Price change,1628035200000,2021-08-04,1699000,535,-0.02908071830882891,bridgeMLS/CCAR/Bay East AOR,,,False,False,"{'infoString1': '40957933', 'infoString2': 'bridgeMLS/CCAR/Bay East AOR', 'infoString3': 'https://photos.zillowstatic.com/fp/542acdc3b2ca053db8ac9dea64ca1739-p_d.jpg'}"
18449274,Listed for sale,1625788800000,2021-07-09,1749888,551,0.09710846394984327,bridgeMLS/CCAR/Bay East AOR,,,False,False,"{'infoString1': '40957933', 'infoString2': 'bridgeMLS/CCAR/Bay East AOR', 'infoString3': 'https://photos.zillowstatic.com/fp/542acdc3b2ca053db8ac9dea64ca1739-p_d.jpg'}"
18449274,Listing removed,1620172800000,2021-05-05,1595000,502,0.0,bridgeMLS/CCAR/Bay East AOR,,,False,False,"{'infoString1': '40945401', 'infoString2': 'bridgeMLS/CCAR/Bay East AOR', 'infoString3': 'https://photos.zillowstatic.com/fp/542acdc3b2ca053db8ac9dea64ca1739-p_d.jpg'}"
18449274,Price change,1616630400000,2021-03-25,1595000,502,0.029098651525904896,bridgeMLS/CCAR/Bay East AOR,,,False,False,"{'infoString1': '40940663', 'infoString2': 'bridgeMLS/CCAR/Bay East AOR', 'infoString3': 'https://photos.zillowstatic.com/fp/542acdc3b2ca053db8ac9dea64ca1739-p_d.jpg'}"
